,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,lyric
10,our song,Taylor Swift,Taylor Swift,10/24/06,201106,54,0.668,0.111,0.672,0.0,0.329,-4.931,0.0303,0.539,89.011,"I was ridin' shotgun with my hair undone In the front seat of his car He's got a one-hand feel on the steering wheel The other on my heart I look around, turn the radio down He says, ""Baby, is something wrong?"" I say, ""Nothin', I was just thinkin' How we don't have a song"" And he says Our song is the slamming screen door Sneakin' out late, tapping on your window When we're on the phone and you talk real slow 'Cause it's late and your mama don't know Our song is the way you laugh The first date: ""Man, I didn't kiss her, and I should have"" And when I got home 'fore I said amen Asking God if he could play it again I was walking up the front porch steps After everything that day Had gone all wrong or been trampled on And lost and thrown away Got to the hallway, well on my way To my lovin' bed I almost didn't notice all the roses And the note that said Our song is the slamming screen door Sneakin' out late, tapping on your window When we're on the phone and you talk real slow 'Cause it's late and your mama don't know Our song is the way you laugh The first date: ""Man, I didn't kiss her, and I should have"" And when I got home 'fore I said amen Asking God if he could play it again Da-da-da-da I've heard every album, listened to the radio Waited for somethin' to come along That was as good as our song 'Cause our song is the slamming screen door Sneakin' out late, tappin' on his window When we're on the phone and he talks real slow 'Cause it's late and his mama don't know Our song is the way he laughs The first date: ""Man, I didn't kiss him, and I should have"" And when I got home 'fore I said amen Asking God if he could play it again Play it again, oh, yeah Oh, oh, yeah I was ridin' shotgun with my hair undone In the front seat of his car I grabbed a pen and an old napkin And I wrote down our song"
11,invisible,Taylor Swift,Taylor Swift,10/24/06,203226,48,0.612,0.637,0.394,0.0,0.147,-5.723,0.0243,0.233,96.001,"She can't see the way your eyes Light up when you smile She'll never notice how you stop and stare Whenever she walks by And you can't see me wanting you the way you want her But you are everything to me And I just wanna show you She don't even know you She's never gonna love you like I want to And you just see right through me But if you only knew me We could be a beautiful Miracle Unbelievable Instead of just invisible Oh, yeah There's a fire inside of you That can't help but shine through She's never gonna see the light No matter what you do And all I think about is how to make you think of me And everything that we could be I just wanna show you She don't even know you She's never gonna love you like I want to And you just see right through me If you only knew me We could be a beautiful Miracle Unbelievable Instead of just invisible Like shadows in a faded light Oh, we're invisible I just wanna open your eyes And make you realize I just wanna show you She don't even know you Baby, let me love you Let me want you You just see right through me But if you only knew me We could be a beautiful Miracle Unbelievable Instead of just invisible Oh, yeah She can't see the way your eyes Light up when you smile"
12,a perfectly good heart,Taylor Swift,Taylor Swift,10/24/06,220146,46,0.483,0.00349,0.751,0.0,0.128,-5.726,0.0365,0.268,156.092,"Why would you wanna break a perfectly good heart? Why would you wanna take our love and tear it all apart, now? Why would you wanna make the very first scar? Why would you wanna break a perfectly good heart? Maybe I should've seen the signs Should've read the writing on the wall And realized by the distance in your eyes that I would be the one to fall No matter what you say, I still can't believe That you would walk away It don't make sense to me, but Why would you wanna break a perfectly good heart? Why would you wanna take our love and tear it all apart, now? Why would you wanna make the very first scar? Why would you wanna break a perfectly good heart? It's not unbroken anymore How do I get it back the way it was before? Why would you wanna break a perfectly good heart? Why would you wanna take our love and tear it all apart, now? Why would you wanna make the very first scar? Why would you wanna break? Why would you wanna break it? Why would you wanna break a perfectly good heart? Why would you wanna take our love and tear it all apart, now? Why would you wanna make the very first scar? Why would you wanna break a perfectly good heart?"
13,sparks fly,Speak Now (Deluxe),Taylor Swift,1/1/10,260946,50,0.608,0.0387,0.785,0.0,0.158,-2.976,0.0311,0.376,114.985,"The way you move is like a full on rainstorm And I'm a house of cards You're the kind of reckless That should send me running But I kinda know that I won't get far And you stood there in front of me Just close enough to touch Close enough to hope you couldn't see What I was thinking of Drop everything now Meet me in the pouring rain Kiss me on the sidewalk Take away the pain 'Cause I see sparks fly whenever you smile Get me with those green eyes, baby, as the lights go down Give me something that'll haunt me when you're not around 'Cause I see sparks fly whenever you smile My mind forgets to remind me You're a bad idea You touch me once and it's really something You find I'm even better than you imagined I would be I'm on my guard for the rest of the world But with you I know it's no good And I could wait patiently but I really wish you would Drop everything now Meet me in the pouring rain Kiss me on the sidewalk Take away the pain 'Cause I see sparks fly whenever you smile Get me with those green eyes, baby, as the lights go down Give me something that'll haunt me when you're not around 'Cause I see sparks fly whenever you smile I run my fingers through your hair and watch the lights go wild Just keep on keeping your eyes on me It's just wrong enough to make it feel right And lead me up the staircase Won't you whisper soft and slow? I'm captivated by you, baby, like a firework show Drop everything now Meet me in the pouring rain Kiss me on the sidewalk Take away the pain 'Cause I see sparks fly whenever you smile Get me with those green eyes, baby, as the lights go down Give me something that'll haunt me when you're not around 'Cause I see sparks fly whenever you smile And the sparks fly Oh, baby, smile And the sparks fly"
14,back to december,Speak Now (Deluxe),Taylor Swift,1/1/10,293040,50,0.517,0.0202,0.606,0.0,0.324,-5.797,0.0289,0.296,141.929,"I'm so glad you made time to see me How's life? Tell me, how's your family? I haven't seen them in a while You've been good, busier than ever We small talk, work and the weather Your guard is up and I know why Because the last time you saw me Is still burned in the back of your mind You gave me roses, and I left them there to die So this is me swallowing my pride Standing in front of you, saying I'm sorry for that night And I go back to December all the time It turns out freedom ain't nothing but missing you Wishing I'd realized what I had when you were mine I'd go back to December, turn around and make it alright I go back to December all the time These days, I haven't been sleeping Staying up, playing back myself leaving When your birthday passed and I didn't call And I think about summer, all the beautiful times I watched you laughing from the passenger side and Realized I loved you in the fall And then the cold came The dark days when fear crept into my mind You gave me all your love, and all I gave you was goodbye So this is me swallowing my pride Standing in front of you, saying I'm sorry for that night And I go back to December all the time It turns out freedom ain't nothing but missing you Wishing I'd realized what I had when you were mine I'd go back to December, turn around and change my own mind I go back to December all the time I miss your tan skin, your sweet smile So good to me, so right And how you held me in your arms that September night The first time you ever saw me cry Maybe this is wishful thinking Probably mindless dreaming But if we loved again, I swear I'd love you right I'd go back in time and change it, but I can't So if the chain is on your door, I understand But this is me swallowing my pride Standing in front of you, saying I'm sorry for that night And I go back to December It turns out freedom ain't nothing but missing you Wishing I'd realized what I had when you were mine I'd go back to December, turn around and make it alright I'd go back to December, turn around and change my own mind I go back to December all the time All the time"
15,back to december,Speak Now (Deluxe),Taylor Swift,1/1/10,293040,43,0.525,0.113,0.676,0.0,0.294,-4.684,0.0294,0.281,141.95,"I'm so glad you made time to see me How's life? Tell me, how's your family? I haven't seen them in a while You've been good, busier than ever We small talk, work and the weather Your guard is up and I know why Because the last time you saw me Is still burned in the back of your mind You gave me roses, and I left them there to die So this is me swallowing my pride Standing in front of you, saying I'm sorry for that night And I go back to December all the time It turns out freedom ain't nothing but missing you Wishing I'd realized what I had when you were mine I'd go back to December, turn around and make it alright I go back to December all the time These days, I haven't been sleeping Staying up, playing back myself leaving When your birthday passed and I didn't call And I think about summer, all the beautiful times I watched you laughing from the passenger side and Realized I loved you in the fall And then the cold came The dark days when fear crept into my mind You gave me all your love, and all I gave you was goodbye So this is me swallowing my pride Standing in front of you, saying I'm sorry for that night And I go back to December all the time It turns out freedom ain't nothing but missing you Wishing I'd realized what I had when you were mine I'd go back to December, turn around and change my own mind I go back to December all the time I miss your tan skin, your sweet smile So good to me, so right And how you held me in your arms that September night The first time you ever saw me cry Maybe this is wishful thinking Probably mindless dreaming But if we loved again, I swear I'd love you right I'd go back in time and change it, but I can't So if the chain is on your door, I understand But this is me swallowing my pride Standing in front of you, saying I'm sorry for that night And I go back to December It turns out freedom ain't nothing but missing you Wishing I'd realized what I had when you were mine I'd go back to December, turn around and make it alright I'd go back to December, turn around and change my own mind I go back to December all the time All the time"
16,speak now,Speak Now (Deluxe),Taylor Swift,1/1/10,240773,49,0.708,0.101,0.601,0.0,0.0979,-3.75,0.0306,0.742,118.962,"I am not the kind of girl Who should be rudely barging in On a white veil occasion But you are not the kind of boy Who should be marrying the wrong girl I sneak in and see your friends And her snotty little family All dressed in pastel And she is yelling at a bridesmaid Somewhere back inside a room Wearing a gown shaped like a pastry This is surely not What you thought it would be I lose myself in a daydream Where I stand and say Don't say yes, run away now I'll meet you when you're out Of the church at the back door Don't wait or say a single vow You need to hear me out And they said, ""speak now"" Fond gestures are exchanged And the organ starts to play A song that sounds like a death march And I am hiding in the curtains It seems that I was uninvited By your lovely bride-to-be She floats down the aisle Like a pageant queen But I know you wish it was me You wish it was me (Don't you) Don't say yes, run away now I'll meet you when you're out Of the church at the back door Don't wait or say a single vow You need to hear me out And they said, ""speak now"" Don't say yes, run away now I'll meet you when you're out Of the church at the back door Don't wait or say a single vow Your time is running out And they said, ""speak now"" Ooh, la-da-da-da, oh Ooh, ooh (Say a single vow) I hear the preacher say ""Speak now or forever hold your peace"" There's the silence, there's my last chance I stand up with shaking hands, all eyes on me Horrified looks from everyone in the room But I'm only looking at you I am not the kind of girl Who should be rudely barging in On a white veil occasion But you are not the kind of boy Who should be marrying the wrong girl (Hehe!) So don't say yes, run away now I'll meet you when you're out Of the church at the back door Don't wait or say a single vow You need to hear me out And they said, ""speak now"" And you say ""Let's run away now I'll meet you when I'm out of my tux at the back door Baby, I didn't say my vows So glad you were around when they said 'Speak now'"""
17,dear john,Speak Now (Deluxe),Taylor Swift,1/1/10,403887,48,0.583,0.183,0.468,1.65e-06,0.111,-5.378,0.0278,0.126,119.375,"Long were the nights when My days once revolved around you Counting my footsteps Praying the floor won't fall through... again My mother accused me of losing my mind But I swore I was fine You paint me a blue sky Then go back and turn it to rain And I lived in your chess game But you changed the rules everyday Wonderin' which version of you I might get on the phone, tonight Well, I stopped pickin' up and this song is to let you know why Dear John, I see it all now that you're gone Don't you think I was too young to be messed with? The girl in the dress cried the whole way home I shoulda known Well, maybe it's me And my blind optimism to blame Or maybe it's you and your sick need To give love and take it away And you'll add my name to your long list of traitors Who don't understand And I look back in regret how I ignored when they said ""Run as fast as you can"" Dear John, I see it all now that you're gone Don't you think I was too young to be messed with? The girl in the dress cried the whole way home Dear John, I see it all now, it was wrong Don't you think nineteen's too young To be played by your dark, twisted games When I loved you so? I shoulda known You are an expert at sorry And keeping lines blurry Never impressed by me acing your tests All the girls that you've run dry have tired lifeless eyes 'Cause you burned them out But I took your matches Before fire could catch me So don't look now I'm shining like fireworks Over your sad empty town, yeah Oh, oh, oh, oh, oh, oh Dear John, I see it all now that you're gone Don't you think I was too young to be messed with? The girl in the dress cried the whole way home I see it all now that you're gone Don't you think I was too young to be messed with? The girl in the dress wrote you a song You shoulda known You shoulda known Don't you think I was too young? You shoulda known"
18,mean,Speak Now (Deluxe),Taylor Swift,1/1/10,237746,48,0.57,0.445,0.747,0.0,0.219,-3.978,0.0426,0.808,164.004,"You, with your words like knives And swords and weapons that you use against me You have knocked me off my feet again Got me feeling like I'm nothing You, with your voice like nails on a chalkboard Calling me out when I'm wounded You, picking on the weaker man Well, you can take me down With just one single blow But you don't know what you don't know Someday, I'll be living in a big old city And all you're ever gonna be is mean Someday, I'll be big enough so you can't hit me And all you're ever gonna be is mean Why you gotta be so mean? You, with your switching sides And your wildfire lies and your humiliation You have pointed out my flaws again As if I don't already see them I walk with my head down, trying to block you out 'Cause I'll never impress you I just wanna feel okay again Joeboy 'Sip (Alcohol)' Official Lyrics & Meaning | Verified I bet you got pushed around Somebody made you cold But the cycle ends right now 'Cause you can't lead me down that road And you don't know what you don't know Someday, I'll be living in a big old city And all you're ever gonna be is mean Someday, I'll be big enough so you can't hit me And all you're ever gonna be is mean Why you gotta be so mean? And I can see you years from now in a bar Talking over a football game With that same big loud opinion But nobody's listening Washed up and ranting about the same old bitter things Drunk and grumbling on about how I can't sing But all you are is mean All you are is mean And a liar, and pathetic, and alone in life And mean, and mean, and mean, and mean But someday, I'll be living in a big old city And all you're ever gonna be is mean, yeah Someday, I'll be big enough so you can't hit me And all you're ever gonna be is mean Why you gotta be so mean? Someday, I'll be living in a big old city (Why you gotta be so mean?) And all you're ever gonna be is mean (Why you gotta be so mean?) Someday, I'll be big enough so you can't hit me (Why you gotta be so mean?) And all you're ever gonna be is mean Why you gotta be so mean?"
19,the story of us,Speak Now (Deluxe),Taylor Swift,1/1/10,265636,48,0.575,0.000315,0.855,0.00161,0.0419,-4.827,0.0467,0.84,139.92,"I used to think one day, we'd tell the story of us How we met, and the sparks flew instantly And people would say, they're the lucky ones I used to know my place was a spot next to you Now I'm searching the room for an empty seat 'Cause lately, I don't even know what page you're on Oh, a simple complication Miscommunications lead to fallout So many things that I wish you knew So many walls up, I can't break through Now I'm standing alone in a crowded room And we're not speaking And I'm dying to know Is it killing you like it's killing me? Yeah, I don't know what to say Since the twist of fate when it all broke down And the story of us looks a lot like a tragedy now Next chapter How'd we end up this way? See me nervously pulling at my clothes and trying to look busy And you're doing your best to avoid me I'm starting to think one day, I'll tell the story of us How I was losing my mind when I saw you here But you held your pride like you should've held me Joeboy 'Sip (Alcohol)' Official Lyrics & Meaning | Verified Oh, I'm scared to see the ending Why are we pretending this is nothing? I'd tell you I miss you, but I don't know how I've never heard silence quite this loud Now I'm standing alone in a crowded room And we're not speaking And I'm dying to know Is it killing you like it's killing me? Yeah, and I don't know what to say Since the twist of fate, when it all broke down And the story of us looks a lot like a tragedy now This is looking like a contest Of who can act like they care less But I liked it better when you were on my side The battle's in your hands now But I would lay my armor down If you say you'd rather love than fight So many things that you wish I knew But the story of us might be ending soon Now I'm standing alone in a crowded room And we're not speaking And I'm dying to know Is it killing you like it's killing me? Yeah, and I don't know what to say Since the twist of fate, when it all broke down And the story of us looks a lot like a tragedy now, now, now And we're not speaking And I'm dying to know Is it killing you like it's killing me, yeah? I don't know what to say since the twist of fate 'Cause we're going down And the story of us looks a lot like a tragedy now The End"
20,the story of us,Speak Now (Deluxe),Taylor Swift,1/1/10,266480,59,0.546,0.00487,0.809,0.000372,0.0437,-3.621,0.041,0.649,139.91,"I used to think one day, we'd tell the story of us How we met, and the sparks flew instantly And people would say, they're the lucky ones I used to know my place was a spot next to you Now I'm searching the room for an empty seat 'Cause lately, I don't even know what page you're on Oh, a simple complication Miscommunications lead to fallout So many things that I wish you knew So many walls up, I can't break through Now I'm standing alone in a crowded room And we're not speaking And I'm dying to know Is it killing you like it's killing me? Yeah, I don't know what to say Since the twist of fate when it all broke down And the story of us looks a lot like a tragedy now Next chapter How'd we end up this way? See me nervously pulling at my clothes and trying to look busy And you're doing your best to avoid me I'm starting to think one day, I'll tell the story of us How I was losing my mind when I saw you here But you held your pride like you should've held me Joeboy 'Sip (Alcohol)' Official Lyrics & Meaning | Verified Oh, I'm scared to see the ending Why are we pretending this is nothing? I'd tell you I miss you, but I don't know how I've never heard silence quite this loud Now I'm standing alone in a crowded room And we're not speaking And I'm dying to know Is it killing you like it's killing me? Yeah, and I don't know what to say Since the twist of fate, when it all broke down And the story of us looks a lot like a tragedy now This is looking like a contest Of who can act like they care less But I liked it better when you were on my side The battle's in your hands now But I would lay my armor down If you say you'd rather love than fight So many things that you wish I knew But the story of us might be ending soon Now I'm standing alone in a crowded room And we're not speaking And I'm dying to know Is it killing you like it's killing me? Yeah, and I don't know what to say Since the twist of fate, when it all broke down And the story of us looks a lot like a tragedy now, now, now And we're not speaking And I'm dying to know Is it killing you like it's killing me, yeah? I don't know what to say since the twist of fate 'Cause we're going down And the story of us looks a lot like a tragedy now The End"
21,never grow up,Speak Now (Deluxe),Taylor Swift,1/1/10,290480,44,0.715,0.829,0.308,0.0,0.16,-8.829,0.0305,0.547,124.899,"Your little hand's wrapped around my finger And it's so quiet in the world tonight Your little eyelids flutter cause you're dreaming So I tuck you in, turn on your favorite night light To you everything's funny, you got nothing to regret I'd give all I have, honey If you could stay like that Oh darling, don't you ever grow up Don't you ever grow up, just stay this little Oh darling, don't you ever grow up Don't you ever grow up, it could stay this simple I won't let nobody hurt you, won't let no one break your heart And no one will desert you Just try to never grow up, never grow up You're in the car on the way to the movies And you're mortified your mom's dropping you off At fourteen, there's just so much you can't do And you can't wait to move out someday and call your own shots But don't make her drop you off around the block Remember that she's getting older too And don't lose the way that you dance around in your pj's getting ready for school Joeboy 'Sip (Alcohol)' Official Lyrics & Meaning | Verified Oh darling, don't you ever grow up Don't you ever grow up, just stay this little Oh darling, don't you ever grow up Don't you ever grow up, it could stay this simple No one's ever burned you, nothing's ever left you scarred And even though you want to, just try to never grow up Take pictures in your mind of your childhood room Memorize what it sounded like when your dad gets home Remember the footsteps, remember the words said And all your little brother's favorite songs I just realized everything I have is someday gonna be gone So here I am in my new apartment In a big city, they just dropped me off It's so much colder than I thought it would be So I tuck myself in and turn my night light on Wish I'd never grown up I wish I'd never grown up Oh, I don't wanna grow up, wish I'd never grown up I could still be little Oh, I don't wanna grow up, wish I'd never grown up It could still be simple Oh darling, don't you ever grow up Don't you ever grow up, just stay this little Oh darling, don't you ever grow up Don't you ever grow up, it could stay this simple Won't let nobody hurt you Won't let no one break your heart And even though you want to, please try to never grow up Oh, don't you ever grow up Oh, never grow up, just never grow up"
