,album_name,track_title,track_n,lyric,line
93,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"See the lights, see the party, the ball gowns",5
94,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,See you make your way through the crowd,6
95,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"And say, ""Hello""",7
96,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,Little did I know,8
97,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"That you were Romeo, you were throwing pebbles",9
98,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"And my daddy said, ""Stay away from Juliet""",10
99,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,And I was crying on the staircase,11
100,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"Begging you, ""Please don't go,"" and I said",12
101,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"Romeo, take me somewhere we can be alone",13
102,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"I'll be waiting, all there's left to do is run",14
103,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,You'll be the prince and I'll be the princess,15
104,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"It's a love story, baby, just say, ""Yes""",16
105,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,So I sneak out to the garden to see you,17
106,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,We keep quiet 'cause we're dead if they knew,18
107,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,So close your eyes,19
108,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"Escape this town for a little while, oh, oh",20
109,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"'Cause you were Romeo, I was a scarlet letter",21
110,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"And my daddy said, ""Stay away from Juliet""",22
111,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,But you were everything to me,23
112,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"I was begging you, ""Please don't go,"" and I said",24
113,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"Romeo, take me somewhere we can be alone",25
114,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"I'll be waiting, all there's left to do is run",26
115,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,You'll be the prince and I'll be the princess,27
116,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"It's a love story, baby, just say, ""Yes""",28
117,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"Romeo, save me, they're trying to tell me how to feel",29
118,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"This love is difficult, but it's real",30
119,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"Don't be afraid, we'll make it out of this mess",31
120,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"It's a love story, baby, just say, ""Yes""",32
121,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"Oh, oh",33
122,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,And I got tired of waiting,34
123,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,Wondering if you were ever coming around,35
124,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,My faith in you was fading,36
125,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,When I met you on the outskirts of town,37
126,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"And I said, ""Romeo, save me, I've been feeling so alone",38
127,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"I keep waiting for you, but you never come",39
128,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"Is this in my head? I don't know what to think""",40
129,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"He knelt to the ground and pulled out a ring, and said",41
130,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"""Marry me, Juliet, you'll never have to be alone",42
131,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,I love you and that's all I really know,43
