album_name,track_title,track_n,lyric,line
Midnights (3am Edition),Anti-Hero,2,I'm the problem, it's me,37
Midnights (3am Edition),Anti-Hero,2,It's me, hi,38
Midnights (3am Edition),Anti-Hero,2,I'm the problem, it's me,39
Midnights (3am Edition),Anti-Hero,2,It's me, hi,40
Midnights (3am Edition),Anti-Hero,2,Everybody agrees, everybody agrees,41
Midnights (3am Edition),Anti-Hero,2,It's me, hi,42
Midnights (3am Edition),Anti-Hero,2,I'm the problem, it's me,43
Midnights (3am Edition),Anti-Hero,2,At teatime , everybody agrees,44
Midnights (3am Edition),Anti-Hero,2,I'll stare directly at the sun, but never in the mirror,45
Midnights (3am Edition),Anti-Hero,2,It must be exhausting always rooting for the anti-hero,46
Midnights (3am Edition),Snow On the Beach,3,Snow On the Beach Lyrics,1
Midnights (3am Edition),Snow On the Beach,3,One night, a few moons ago,2
Midnights (3am Edition),Snow On the Beach,3,I saw flecks of what could've been lights,3
Midnights (3am Edition),Snow On the Beach,3,But it might just have been you,4
Midnights (3am Edition),Snow On the Beach,3,Passing by unbeknownst to me,5
Midnights (3am Edition),Snow On the Beach,3,Life is emotionally abusive,6
Midnights (3am Edition),Snow On the Beach,3,And time can't stop me quite like you did,7
Midnights (3am Edition),Snow On the Beach,3,And my flight was awful, thanks for asking,8
Midnights (3am Edition),Snow On the Beach,3,I'm unglued, thanks to you,9
Midnights (3am Edition),Snow On the Beach,3,And it's like snow at the beach,10
Midnights (3am Edition),Snow On the Beach,3,Weird, but fuckin' beautiful,11
Midnights (3am Edition),Snow On the Beach,3,Flying in a dream,12
Midnights (3am Edition),Snow On the Beach,3,Stars by the pocketful,13
Midnights (3am Edition),Snow On the Beach,3,You wanting me,14
Midnights (3am Edition),Snow On the Beach,3,Tonight feels impossible,15
Midnights (3am Edition),Snow On the Beach,3,But it's comin' down,16
Midnights (3am Edition),Snow On the Beach,3,No sound, it's all around,17
Midnights (3am Edition),Snow On the Beach,3,Like snow on the beach,18
Midnights (3am Edition),Snow On the Beach,3,Like snow on the beach,19
Midnights (3am Edition),Snow On the Beach,3,Like snow on the beach,20
Midnights (3am Edition),Snow On the Beach,3,Like snow, ah,21
Midnights (3am Edition),Snow On the Beach,3,This scene feels like what I once saw on a screen,22
Midnights (3am Edition),Snow On the Beach,3,I searched "aurora borealis green",23
Midnights (3am Edition),Snow On the Beach,3,I've never seen someone lit from within,24
Midnights (3am Edition),Snow On the Beach,3,Blurring out my periphery,25
Midnights (3am Edition),Snow On the Beach,3,My smile is like I won a contest,26
Midnights (3am Edition),Snow On the Beach,3,And to hide that would be so dishonest,27
Midnights (3am Edition),Snow On the Beach,3,And it's fine to fake it 'til you make it,28
Midnights (3am Edition),Snow On the Beach,3,'Til you do, 'til it's true,29
Midnights (3am Edition),Snow On the Beach,3,Now it's like snow at the beach,30
Midnights (3am Edition),Snow On the Beach,3,Weird, but fuckin' beautiful,31
Midnights (3am Edition),Snow On the Beach,3,Flying in a dream,32
Midnights (3am Edition),Snow On the Beach,3,Stars by the pocketful,33
Midnights (3am Edition),Snow On the Beach,3,You wanting me,34
Midnights (3am Edition),Snow On the Beach,3,Tonight feels impossible,35
Midnights (3am Edition),Snow On the Beach,3,But it's comin' down,36
Midnights (3am Edition),Snow On the Beach,3,No sound, it's all around,37
Midnights (3am Edition),Snow On the Beach,3,You might also like,38
Midnights (3am Edition),Snow On the Beach,3,Like snow on the beach,39
Midnights (3am Edition),Snow On the Beach,3,Like snow on the beach,40
Midnights (3am Edition),Snow On the Beach,3,Like snow on the beach,41
Midnights (3am Edition),Snow On the Beach,3,Like snow, ah,42
Midnights (3am Edition),Snow On the Beach,3,I  can't  speak, afraid to jinx it,43
Midnights (3am Edition),Snow On the Beach,3,I  don't  even dare to wish it,44
Midnights (3am Edition),Snow On the Beach,3,But your eyes are flying saucers from another planet,45
Midnights (3am Edition),Snow On the Beach,3,Now I'm all for you like Janet,46
Midnights (3am Edition),Snow On the Beach,3,Can this be a real thing? Can it?,47
Midnights (3am Edition),Snow On the Beach,3,Are we falling like snow at the beach?,48
Midnights (3am Edition),Snow On the Beach,3,Weird, but fuckin' beautiful,49
Midnights (3am Edition),Snow On the Beach,3,Flying in a dream,50
Midnights (3am Edition),Snow On the Beach,3,Stars by the pocketful,51
Midnights (3am Edition),Snow On the Beach,3,You wanting me,52
Midnights (3am Edition),Snow On the Beach,3,Tonight feels impossible,53
Midnights (3am Edition),Snow On the Beach,3,But it's comin' down,54
Midnights (3am Edition),Snow On the Beach,3,No sound, it's all around,55
Midnights (3am Edition),Snow On the Beach,3,Like snow on the beach,56
Midnights (3am Edition),Snow On the Beach,3,Like snow on the beach,57
Midnights (3am Edition),Snow On the Beach,3,Like snow on the beach,58
Midnights (3am Edition),Snow On the Beach,3,Like snow, ah,59
Midnights (3am Edition),Snow On the Beach,3,But it's comin' down,60
Midnights (3am Edition),Snow On the Beach,3,No sound, it's all around,61
Midnights (3am Edition),Snow On the Beach,3,Like snow on the beach,62
Midnights (3am Edition),Snow On the Beach,3,Like snow on the beach,63
Midnights (3am Edition),You’re On Your Own, Kid,4,You’re On Your Own, Kid Lyrics,1
Midnights (3am Edition),You’re On Your Own, Kid,4,Summer went away, still, the yearning stays,2
Midnights (3am Edition),You’re On Your Own, Kid,4,I play it cool with the best of them,3
Midnights (3am Edition),You’re On Your Own, Kid,4,I wait patiently, he's gonna notice me,4
Midnights (3am Edition),You’re On Your Own, Kid,4,It's okay, we're the best of friends,5
Midnights (3am Edition),You’re On Your Own, Kid,4,Anyway,6
Midnights (3am Edition),You’re On Your Own, Kid,4,I hear it in your voice, you're smoking with your boys,7
Midnights (3am Edition),You’re On Your Own, Kid,4,I touch my phone as if it's your face,8
Midnights (3am Edition),You’re On Your Own, Kid,4,I didn't choose this town, I dream of getting out,9
Midnights (3am Edition),You’re On Your Own, Kid,4,There's just one who could make me stay,10
Midnights (3am Edition),You’re On Your Own, Kid,4,All my days,11
Midnights (3am Edition),You’re On Your Own, Kid,4,From sprinkler splashes to fireplace ashes,12
Midnights (3am Edition),You’re On Your Own, Kid,4,I waited ages to see you there,13
